"id","time","cpu_sec_idle","disk_av_per","disk_read","disk_write","net_receive","mem_pressure","mem_av_per","forks_total","intr","load1","load5","load15","receive_drop","receive_errs","transmit_packets","tcp_sock_alloc","tcp_sock_inuse","tcp_sock_mem","udp_sock_inuse","udp_sock_mem","ipv4_sock_inuse","est_conn","lis_conn","open_fds","attack"
1,"2023-08-27 20:14:35","6094115.215","60.4799","4334232064","269242762240","3871","39784","68.3358","172814329","11844205090","7.09","2.34","1.24",0,0,41,208,0,552,0,8,6,2,1,9,0
2,"2023-08-27 20:14:39","6094116.13","59.9495","4334510592","269766054912","5865","39787","36.3826","172814812","11844212973","6.76","2.36","1.25",0,0,57,216,0,540,0,6,6,2,1,9,0
3,"2023-08-27 20:14:43","6094116.8575","60.4799","4335018496","270115247104","7391","39797","68.3384","172815231","11844218383","8.22","2.73","1.38",0,0,73,201,0,41,0,6,7,2,1,9,0
4,"2023-08-27 20:14:46","6094119.66","60.4799","4335088128","270115546112","9245","39797","68.3148","172815613","11844227928","7.56","2.69","1.37",0,0,90,199,0,43,0,6,7,2,1,9,0
5,"2023-08-27 20:14:50","6094122.3175","60.4799","4335591936","270115947520","10729","39815","68.2879","172816102","11844235434","7.56","2.69","1.37",0,0,106,200,0,42,0,6,5,2,1,9,0
6,"2023-08-27 20:14:53","6094124.995","60.4799","4335776256","270116127744","12583","39820","68.313","172816498","11844245154","6.95","2.64","1.36",0,0,121,197,0,30,0,6,6,2,1,9,0
7,"2023-08-27 20:14:56","6094127.8775","60.4799","4335813120","270116451328","14067","39820","68.3521","172816888","11844255934","6.4","2.6","1.35",0,0,136,201,0,32,0,6,6,2,1,9,0
8,"2023-08-27 20:15:00","6094129.805","60.1145","4335854080","270470398976","15551","39820","47.3413","172817280","11844263609","6.4","2.6","1.35",0,0,151,203,0,30,0,6,6,2,1,9,0
9,"2023-08-27 20:15:05","6094130.6025","59.3428","4336964096","271183664128","17035","39830","44.3671","172817711","11844266938","7.97","2.99","1.49",0,0,166,205,0,27,0,7,5,2,1,9,0
10,"2023-08-27 20:15:10","6094130.9625","58.8202","4337054208","271778542592","18959","39830","42.3796","172818081","11844270856","9.33","3.35","1.61",0,0,182,203,0,27,0,8,5,2,1,9,0
11,"2023-08-27 20:15:14","6094131.4525","58.3377","4337091072","272502653952","20855","39830","50.1643","172818531","11844276663","10.59","3.71","1.74",0,0,198,201,0,49,0,8,5,2,1,9,0
12,"2023-08-27 20:15:18","6094131.9075","57.7213","4337172992","273198568448","22339","39831","45.4327","172818986","11844280665","11.98","4.12","1.88",0,0,211,201,0,51,0,7,6,2,1,9,0
13,"2023-08-27 20:15:22","6094132.515","57.9814","4337406464","273929618432","24235","39831","41.3055","172819374","11844284688","14.55","4.78","2.11",0,0,227,201,0,43,0,7,8,2,1,9,0
14,"2023-08-27 20:15:27","6094132.935","59.8163","4337447424","274295669760","25719","39831","35.4453","172819796","11844290310","13.86","4.8","2.13",0,0,242,205,0,47,0,7,7,2,1,9,0
15,"2023-08-27 20:15:31","6094133.4875","59.231","4337508864","275042870272","27573","39832","40.1776","172820188","11844294175","13.31","4.83","2.15",0,0,257,205,0,39,0,6,7,2,1,9,0
16,"2023-08-27 20:15:35","6094134.065","58.8133","4337553920","275730105344","29057","39833","32.8206","172820598","11844299522","13.31","4.83","2.15",0,0,270,204,0,36,0,6,7,2,1,9,0
17,"2023-08-27 20:15:38","6094134.5625","58.2464","4337668608","276418298880","30911","39833","41.7471","172820960","11844303676","12.65","4.84","2.17",0,0,283,203,0,42,0,7,7,2,1,9,0
18,"2023-08-27 20:15:42","6094134.9475","57.7939","4337725952","277036033024","32395","39834","34.7589","172821353","11844316675","12.51","4.94","2.22",0,0,298,199,0,39,0,8,6,2,1,9,0
19,"2023-08-27 20:15:47","6094135.4575","58.2757","4337742336","277591454720","33879","39834","45.1104","172821834","11844321702","12.07","4.97","2.24",0,0,312,202,0,45,0,8,7,2,1,9,0
20,"2023-08-27 20:15:51","6094135.86","60.091","4337762816","278281966592","35775","39834","31.9382","172822289","11844326157","12.23","5.12","2.31",0,0,326,197,0,39,0,7,5,2,1,9,0
21,"2023-08-27 20:15:55","6094136.41","59.2525","4337787392","278977889280","37259","39834","32.7951","172822691","11844330731","12.23","5.12","2.31",0,0,341,199,0,36,0,7,8,2,1,9,0
22,"2023-08-27 20:15:59","6094136.9125","58.6875","4337811968","279632638976","38743","39834","48.081","172823044","11844338710","11.89","5.17","2.34",0,0,354,198,0,40,0,5,8,2,1,9,0
23,"2023-08-27 20:16:03","6094137.6075","58.1369","4337832448","280380400640","40597","39834","33.535","172823420","11844344643","11.42","5.19","2.36",0,0,369,197,0,40,0,9,5,2,1,9,0
